#' @name Skye_SKP210.spct
#'
#' @title Skye PAR 'Special' Sensor SKP210
#'
#' @note
#' Spectral data digitized from figure in manufacturer's manual.
#' This is typical measured data, and for specific sensor units the
#' calibration data supplied with the sensor must be used as individual
#' may differ in their spectral response. Furthermore, the digigitizing
#' process from figures with a linear scale is prone to errors, which
#' are specially noticeable in regions of low responsivity.
#'
#' Manufacturer: Skye Instruments, Llandrindod Wells, Powys, UK
#' \url{http://www.skyeinstruments.com/}
#'
#' @references
#' Manufacturer's brochure dated 2007-10-03
#'
#' KJ McCree. The action spectrum, absorbance and quantum yield of
#' photosynthesis in crop plants. Agricultural Meteorology. 1971/72
#' Vol 9, pp 191-216
#'
w.length,s.q.response
6.282742222538E2,9.132815823672E1
6.279784259990E2,9.127095702687E1
6.271945146864E2,9.113596217162E1
6.268987184317E2,9.107876096177E1
6.261148071191E2,9.094376610653E1
6.258190108643E2,9.088656489668E1
6.250350995517E2,9.075157004144E1
6.247393032969E2,9.069436883159E1
6.239553919843E2,9.055937397634E1
6.236595957296E2,9.050217276650E1
6.228756844170E2,9.036717791125E1
6.225798881622E2,9.030997670140E1
6.217959768496E2,9.017498184616E1
6.215001805948E2,9.011778063631E1
6.207162692822E2,8.998278578106E1
6.204204730275E2,8.992558457122E1
6.198667558128E2,8.980775007893E1
6.193780150651E2,8.969163162293E1
6.188942015544E2,8.955949682818E1
6.182909740651E2,8.942724763101E1
6.179943099466E2,8.936730076309E1
6.176976458280E2,8.930735389517E1
6.173468969488E2,8.923116188365E1
6.168581562012E2,8.911504342765E1
6.163743426904E2,8.898290863290E1
6.157711152011E2,8.885065943573E1
6.154744510826E2,8.879071256781E1
6.151777869640E2,8.873076569989E1
6.148270380848E2,8.865457368837E1
6.143382973372E2,8.853845523237E1
6.138544838264E2,8.840632043762E1
6.133706703157E2,8.827418564287E1
6.128819295680E2,8.815806718688E1
6.125311806888E2,8.808187517536E1
6.122345165703E2,8.802192830743E1
6.119378524517E2,8.796198143951E1
6.115871035725E2,8.788578942799E1
6.110983628249E2,8.776967097200E1
6.106145493141E2,8.763753617725E1
6.101307358034E2,8.750540138250E1
6.096582115282E2,8.738527884181E1
6.091743980175E2,8.725314404706E1
6.086905845068E2,8.712100925231E1
6.082180602316E2,8.700088671163E1
6.077342467209E2,8.686875191687E1
6.072504332101E2,8.673661712212E1
6.067779089350E2,8.661649458144E1
6.062940954243E2,8.648435978669E1
6.058102819135E2,8.635222499194E1
6.053377576384E2,8.623210245125E1
6.048539441276E2,8.609996765650E1
6.043701306169E2,8.596783286175E1
6.038976063417E2,8.584771032107E1
6.034137928310E2,8.571557552632E1
6.029299793203E2,8.558344073156E1
6.024574550451E2,8.546331819088E1
6.019736415344E2,8.533118339613E1
6.014898280236E2,8.519904860138E1
6.010010872760E2,8.508293014538E1
6.006503383968E2,8.500673813386E1
6.003536742782E2,8.494679126594E1
6.000570101597E2,8.488684439802E1
5.997062612805E2,8.481065238650E1
5.992013040603E2,8.469853801520E1
5.988505551811E2,8.462234600368E1
5.985538910626E2,8.456239913576E1
5.982572269440E2,8.450245226783E1
5.979064780648E2,8.442626025631E1
5.974015208446E2,8.431414588501E1
5.970507719654E2,8.423795387349E1
5.967541078469E2,8.417800700557E1
5.964574437283E2,8.411806013765E1
5.961066948491E2,8.404186812613E1
5.956235987193E2,8.393175579717E1
5.951604821405E2,8.382164346821E1
5.947067732580E2,8.372154135097E1
5.942549459148E2,8.362344127608E1
5.937993554931E2,8.352133711650E1
5.933343573750E2,8.340922274520E1
5.927311298857E2,8.327697354802E1
5.924344657672E2,8.321702668010E1
5.921378016487E2,8.315707981218E1
5.917870527695E2,8.308088780066E1
5.912820955493E2,8.296877342936E1
5.909313466701E2,8.289258141784E1
5.906346825515E2,8.283263454992E1
5.903380387283E2,8.277749258362E1
5.899080709291E2,8.270130057210E1
5.891953430651E2,8.264043848482E1
5.887517519310E2,8.262976092565E1
5.880961060503E2,8.250750287313E1
5.873963716596E2,8.244824241973E1
5.869527805256E2,8.243756486056E1
5.862971346449E2,8.231530680804E1
5.855974002542E2,8.225604635464E1
5.850447900571E2,8.224403410057E1
5.846305596738E2,8.217796670319E1
5.840882030503E2,8.209748460093E1
5.834045462707E2,8.206385028954E1
5.828315882683E2,8.198577063810E1
5.822892316448E2,8.190528853584E1
5.819502221209E2,8.187165422445E1
5.815149976252E2,8.183990755298E1
5.808567617801E2,8.173460012565E1
5.805601179568E2,8.167945815936E1
5.802634538382E2,8.161951129143E1
5.799127049590E2,8.154331927992E1
5.794077477388E2,8.143120490861E1
5.790569988596E2,8.135501289709E1
5.787603347411E2,8.129506602917E1
5.784636706226E2,8.123511916125E1
5.781129217434E2,8.115892714973E1
5.776079645232E2,8.104681277842E1
5.772572156440E2,8.097062076691E1
5.769605515254E2,8.091067389898E1
5.766638874069E2,8.085072703106E1
5.763131385277E2,8.077453501954E1
5.758243977800E2,8.065841656355E1
5.753405842693E2,8.052628176880E1
5.747373567800E2,8.039403257163E1
5.744406926614E2,8.033408570370E1
5.741440285429E2,8.027413883578E1
5.737932796637E2,8.019794682426E1
5.732883224435E2,8.008583245296E1
5.729375735643E2,8.000964044144E1
5.726409094458E2,7.994969357352E1
5.723442453272E2,7.988974670559E1
5.719934964480E2,7.981355469408E1
5.715047557003E2,7.969743623808E1
5.710209421896E2,7.956530144333E1
5.704843211501E2,7.942367124774E1
5.701626123647E2,7.933020447085E1
5.694723330501E2,7.904637206758E1
5.691360271442E2,7.889261521550E1
5.686796139190E2,7.868440281165E1
5.680791314435E2,7.842493812378E1
5.673104824848E2,7.808539174211E1
5.669741765788E2,7.793163489004E1
5.665177633537E2,7.772342248619E1
5.659172808781E2,7.746395779831E1
5.651486319195E2,7.712441141665E1
5.648123260135E2,7.697065456457E1
5.643559127883E2,7.676244216072E1
5.637554303128E2,7.650297747284E1
5.629867813541E2,7.616343109118E1
5.626504754482E2,7.600967423910E1
5.621940622230E2,7.580146183525E1
5.617153860695E2,7.559324943140E1
5.613127794311E2,7.545367847937E1
5.610169847871E2,7.536307176297E1
5.604495751209E2,7.520485321653E1
5.599770508458E2,7.508473067584E1
5.594932373350E2,7.495259588109E1
5.588900098457E2,7.482034668392E1
5.585933457272E2,7.476039981600E1
5.582966816086E2,7.470045294808E1
5.579459327294E2,7.462426093656E1
5.574571919818E2,7.450814248056E1
5.569733784710E2,7.437600768581E1
5.563701509817E2,7.424375848864E1
5.560734868632E2,7.418381162072E1
5.557768227447E2,7.412386475280E1
5.554260738654E2,7.404767274128E1
5.549373331178E2,7.393155428528E1
5.544535196070E2,7.379941949053E1
5.538502921177E2,7.366717029336E1
5.535536279992E2,7.360722342544E1
5.532569638807E2,7.354727655752E1
5.529062150014E2,7.347108454600E1
5.524174742538E2,7.335496609000E1
5.519336607430E2,7.322283129525E1
5.513304332537E2,7.309058209808E1
5.510337691352E2,7.303063523016E1
5.501561620395E2,7.287733598776E1
5.498603657848E2,7.282013477791E1
5.490764544722E2,7.268513992267E1
5.487806582174E2,7.262793871282E1
5.482013327399E2,7.252898061978E1
5.477090487789E2,7.246091118006E1
5.473101866151E2,7.242230036341E1
5.466519507700E2,7.231699293608E1
